Episode,Total_reward
215,-22.3057337525
216,-23.6701095515
217,-23.2354698439
218,-23.0407648251
219,-23.8396394823
220,-22.8740182545
221,-23.6196493537
222,-22.879564807
223,-23.1749578002
224,-23.1871413004
225,-24.2495108964
226,-22.9989246706
227,-2885.85030458
228,-2109.39632528
229,-23.1850213459
230,-5.74648851936
231,-22.5108996395
232,-63.0915291993
233,-2818.19299269
234,-2320.16179902
235,-2480.1930875
236,-2473.78793099
237,-2202.17301363
238,-2601.67534849
239,-2298.33683155
240,-2224.78724936
241,-2184.8683387
242,-2547.05720861
243,-2395.70602001
244,-2143.95795259
245,-2539.86840804
246,-2360.94424467
247,-2294.20091044
248,-2245.58827244
249,-2268.64202806
250,-2303.07103177
251,-2241.76393486
252,-2230.87159426
253,-34.4114580892
254,-16.9572073446
255,-16.0291925394
256,-15.2927720581
257,-16.2451396094
258,-16.2500120903
259,-2514.51925488
260,-2360.06294957
261,-12.4758039428
262,-22.8397281832
263,-45.6784168398
264,-39.1640464936
265,-41.3383855696
266,-2558.51098184
267,-2569.5529988
268,-2450.65203043
269,4.74639794523
270,-71.4717519855
271,-17.1329551217
272,-16.7423131668
273,-16.3273074192
274,-15.940461133
275,-16.061995243
276,-15.5503006434
277,-16.4174249383
278,-14.9440981252
279,-15.7471599728
280,-17.3359943135
281,-16.63763492
282,-16.0548651661
283,-16.8128264741
284,-16.5085779629
285,-17.024640594
286,-16.061806199
287,-22.4323047605
288,-15.8385706653
289,-11.2968756644
290,-14.0361130768
291,-16.6884702689
292,-17.2004565093
293,-17.792195018
294,-15.6821844507
295,-16.0916669156
296,-15.7037483855
297,-15.7104649867
298,-16.6088132891
299,-15.992901158
300,-16.4256090993
301,-15.8986895138
302,-16.6187538898
303,-16.116300441
304,-16.482498751
305,-16.517709176
306,-18.0532737328
307,-15.2480172794
308,-16.1217410432
309,-792.757268172
310,-1005.73106003
311,-593.279577236
312,-16.5198058292
313,-16.2859612888
314,-15.6327574662
315,-17.2059584619
316,-15.0767890045
317,-16.126969425
318,-15.6666634832
319,-16.1360521115
320,-17.7363178949
321,-16.2207916658
322,-15.7587058869
323,-16.2431331842
324,-16.3673490065
325,-15.1795450219
326,-15.8580314811
327,-15.4724050064
328,-2203.31445446
329,-38.9107766428
330,-2480.20393361
331,-2447.47692154
332,-1885.29030861
333,-15.6130032881
334,-16.6057630738
335,-15.3798843846
336,-16.345747157
337,-15.7299456606
338,-17.1741594565
339,-15.526690317
340,-15.8135545226
341,-35.6753520183
342,-2135.70160729
343,-2435.28196893
344,-2613.07512157
345,-2531.7259376
346,-79.4271868415
347,-56.0455669685
348,-48.3224955395
349,-24.6141199246
350,-2177.2428865
351,-2460.38237627
352,-2244.7073808
353,-2605.61531983
354,-2706.93895335
355,-2304.66421246
356,-2222.88149164
357,-2277.89354079
358,-2734.37272103
359,-2649.72517187
360,-2234.87690678
361,-2638.98349515
362,-2180.93190726
363,-2288.70203158
364,-2468.24341814
365,-2361.79002381
366,-2233.8844732
367,-2526.63323321
368,-2551.0413752
369,-2435.65207013
370,-2442.74582221
371,-2251.42252109
372,-2650.42348751
373,-2316.40507681
374,-2666.39591241
375,-2257.5403584
376,-2417.51186016
377,-2285.65090649
378,-2690.14169563
379,-2311.35956193
380,-2404.17984486
381,-2330.48666966
382,-2532.50533667
383,-2536.93193352
384,-2321.71517342
385,-2288.86932202
386,-2219.33213042
387,-2700.38033016
388,-2771.61109514
389,-2437.78111131
390,-2548.27677881
391,-2510.1452259
392,-2372.95050634
393,-2303.10163113
394,-2161.51038611
395,-2258.9707748
396,-2522.00990656
397,-2444.54149821
398,-2154.18559636
399,-2386.65786808
400,-2480.88225333
401,-2179.47707452
402,-2468.26173829
403,-2326.40801387
404,-2448.17937146
405,-2669.81061786
406,-2221.67128347
407,-2495.20533437
408,-2588.21332089
409,-2154.86294384
410,-2561.21174573
411,-2187.54597685
412,-2632.43795827
413,-2315.99720971
414,-2163.67415916
415,-2811.29704807
416,-2677.07660081
417,-2477.72164135
418,-2288.15244679
419,-2449.73600795
420,-2307.76285641
421,-2234.53177632
422,-2163.50503784
423,-2484.71542605
424,-2702.72064568
425,-2663.71394762
426,-2296.18428899
427,-2603.46883799
428,-2751.56414902
429,-2355.353609
430,-2753.53038629
431,-2435.86007235
432,-2322.40416206
