time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.7939160278e-08,2.43679166557e-07,10.0023523103,0.000245077443412,6.28288169619,0.0,1.46471158806e-05,2.1265249311e-05,0.0784075121006,0.0112075537395,-0.0178303251109,0.0,429.8927042870006,428.37954980101097,430.37698803270257,431.32430623041125
0.12000000000000001,1.04681842711e-05,8.74709114941e-06,10.0090777737,0.000845224881941,6.28128603251,0.0,0.000449284409097,0.000324126570592,0.145767689026,0.00747624102255,-0.0567232237207,0.0,429.45834999246085,426.14678750035534,425.2099708561715,424.8901379272341
0.18,0.000107963975165,5.44946061821e-05,10.0281781238,0.00151216431818,6.27811311072,0.0,0.00325384099662,0.00127901968354,0.490825517941,0.0175490199742,-0.0461362957404,0.0,508.08937602496957,508.8462179075826,508.77793487947577,509.4983431909244
0.23999999999999996,0.000412221639591,0.000164863213918,10.0594796206,0.00287848914095,6.2752256771,0.0,0.00716002704706,0.00251799428712,0.552527583696,0.0315772542613,-0.0524274867689,0.0,425.7491446149472,425.2090750970088,423.6048344017439,424.8093232947945
0.3,0.000998151571988,0.00037536883278,10.0933800601,0.00474894135384,6.27282282905,0.0,0.0126163091548,0.00466993366091,0.577471776012,0.0303558245898,-0.0226716363923,0.0,410.6572272426653,413.28664257449617,413.5501279991327,413.44295978319155
0.36000000000000004,0.00198978466267,0.000768723546122,10.1324901882,0.00706858784756,6.27100496111,0.0,0.020602155575,0.00867165066924,0.726112905946,0.0515307922391,-0.0534299880266,0.0,453.4822188801423,451.0046228487576,451.81118208684586,453.5155930040312
0.4200000000000001,0.0035067246822,0.00145688423754,10.1803733119,0.0100951604933,6.26756173204,0.0,0.0303202784194,0.0145982198691,0.869884796127,0.0481739416775,-0.0667837353315,0.0,451.91725984698485,450.83746455676834,451.07964603653113,450.8100903237047
0.48000000000000015,0.00559077778777,0.00250471221843,10.2310860959,0.0126643030585,6.26324235044,0.0,0.0394791113616,0.0205502367058,0.820570252432,0.0290723265142,-0.0852302680797,0.0,389.1915583716721,387.45639274222964,387.5099287313153,385.71164228016136
0.5400000000000001,0.00842932143891,0.00403020279278,10.2851894498,0.014204239697,6.25874306198,0.0,0.0556648890279,0.0304814249454,0.982734870697,0.0177929724586,-0.0598723834877,0.0,457.80189053088765,459.81038910909746,455.5866642885045,454.68414502654497
0.6000000000000002,0.0122862171975,0.00615650453049,10.3470950725,0.0158504295126,6.25544446873,0.0,0.073244872244,0.0405367480825,1.0806862949,0.0418845936933,-0.0466462141202,0.0,437.17225200218786,438.27064641078823,435.9418932671107,437.9502799531901
0.6600000000000003,0.0173571341943,0.00897950512881,10.4182065843,0.0186687713407,6.25219002835,0.0,0.0961277038652,0.0538762167723,1.28946882736,0.0555816017963,-0.0772013900138,0.0,472.8426325625677,470.48103075927264,470.7175378109291,471.77733379261883
0.7200000000000003,0.0237794412356,0.0126081909829,10.498459608,0.0218112604691,6.24734915318,0.0,0.118424573733,0.0674067663418,1.38549639538,0.0450373676553,-0.0887469521854,0.0,438.19691433891893,437.2307538321212,437.6584522655223,436.78186594710553
0.7800000000000004,0.0317038540072,0.0171486923713,10.5861692562,0.02437693279,6.24226615389,0.0,0.146285087083,0.0842278573853,1.537935161,0.0377701643403,-0.0776813577065,0.0,454.926156354778,455.80549614476365,455.62091577609255,455.0405419036169
0.8400000000000004,0.0414669229142,0.0227874534453,10.6843732023,0.0268431383147,6.23767461768,0.0,0.179676621079,0.103999276949,1.7352177013,0.0470505714442,-0.0743101237292,0.0,469.77882565744613,470.0358490811331,468.3835180235806,469.10543511269753
0.9000000000000005,0.0532582127697,0.0296239359851,10.7926246452,0.0297223675518,6.23309667848,0.0,0.213841187423,0.124183294839,1.87291207581,0.0497968566643,-0.0806043957541,0.0,452.5766591074003,452.0652935327519,451.52124384729495,451.7440930719893
0.9600000000000005,0.0670873668696,0.0376676069982,10.9069162469,0.0327807229084,6.22829418564,0.0,0.247589758776,0.144226814908,1.93666339592,0.0532252724063,-0.078939637742,0.0,428.9884507654929,429.1243748097522,429.07614028329147,429.3688378988348
1.0200000000000005,0.0831884929764,0.0470658366303,11.0277740927,0.0357446144899,6.22331552553,0.0,0.289630984395,0.169377256054,2.09161114817,0.0403697624595,-0.0926036962789,0.0,458.49470812020775,457.40240887568154,458.8087773153639,457.78846509170904
1.0800000000000005,0.101768673507,0.0579424414735,11.1553361753,0.0383727729478,6.21763045346,0.0,0.330245593266,0.193416000379,2.16027913783,0.0499083061748,-0.0994312334058,0.0,432.5378735290319,431.9545882315597,430.87763671998965,431.6843761198563
1.1400000000000006,0.122904184118,0.0703177661375,11.2870891465,0.041318562394,6.21182416158,0.0,0.374834591552,0.219377031897,2.23128915013,0.0474219171744,-0.0919254693118,0.0,432.6652834769826,433.28841599994144,432.9746174682063,432.76695640446576
1.2000000000000006,0.14694931561,0.0843779279952,11.4247629659,0.044078053023,6.20627224155,0.0,0.42723408955,0.249577933058,2.35751622706,0.0429661901497,-0.093772594552,0.0,450.6435931304986,450.487167995392,451.241591388982,450.8829780508505
1.2600000000000007,0.174626229255,0.100518141858,11.5747182746,0.0466686596349,6.20017732301,0.0,0.49602294154,0.28873055507,2.64028852663,0.043594541479,-0.125652490396,0.0,498.8431956840773,496.5015647047459,497.59620589174295,497.643016469793
